fill,delivered (/fb),recorded (/fb),integrated delivered (/fb),integrated recorded (/fb)
7078,0.1170960546875,0.10883003125000001,42.07423705382729,39.649845398672966
7080,0.52355890625,0.489323875,42.59779596007729,40.13916927367296
7083,0.4462105,0.42359996875000006,43.04400646007729,40.56276924242296
7087,0.5181173437500001,0.47944753125000006,43.56212380382729,41.04221677367296
7088,0.08000885156250001,0.067342328125,43.642132655389794,41.10955910179796
7090,0.5206535,0.47535625000000004,44.162786155389796,41.58491535179796
7091,0.5270027500000001,0.49750112500000004,44.6897889053898,42.08241647679796
7092,0.16250004687500003,0.150430046875,44.8522889522648,42.23284652367296
7095,0.29270865625000003,0.28152925,45.1449976085148,42.51437577367296
7097,0.5217116562500002,0.49453025000000006,45.6667092647648,43.00890602367296
7098,0.282093625,0.26980984375000006,45.9488028897648,43.27871586742296
7099,0.10779118750000001,0.103419046875,46.0565940772648,43.38213491429796
7101,0.156810359375,0.14200703125,46.2134044366398,43.52414194554796
7105,0.5358321875000001,0.5139213125000001,46.7492366241398,44.03806325804796
7108,0.5200682812500002,0.49941531250000004,47.269304905389795,44.53747857054796
7109,0.013927905273438,0.008950775390625,47.283232810663236,44.546429345938584
7110,0.48472703125000005,0.4666040625,47.76795984191324,45.01303340843858
7112,0.016036815429688003,0.014913010742188001,47.783996657342925,45.02794641918077
7114,0.010369125000000002,0.009426918945313001,47.79436578234292,45.03737333812609
7117,0.24815820312500003,0.23666821875000002,48.04252398546792,45.274041556876085
7118,0.36129928125000005,0.33113396875,48.40382326671792,45.60517552562609
7120,0.29781665625000003,0.28613787500000004,48.70163992296792,45.89131340062609
7122,0.33198825000000004,0.31665515625,49.03362817296792,46.20796855687609
7123,0.49651828125,0.47734765625000003,49.53014645421792,46.685316213126086
7124,0.528918375,0.49806062500000003,50.059064829217924,47.18337683812609
7125,0.44574137500000005,0.42652484375000005,50.50480620421792,47.60990168187609
7127,0.51000928125,0.47559537500000004,51.01481548546792,48.085497056876086
7128,0.33158040625,0.31851146875,51.34639589171792,48.40400852562609
7131,0.43619096875,0.41985553125,51.782586860467916,48.82386405687609
7132,0.28258934375,0.2708929687500001,52.06517620421791,49.09475702562609
7133,0.188738453125,0.18108989062500003,52.25391465734291,49.27584691625109
7135,0.183526015625,0.17412237500000002,52.43744067296791,49.449969291251094
7137,0.495196375,0.47266015625,52.93263704796791,49.922629447501095
7139,0.48149856250000006,0.40508634375,53.41413561046791,50.327715791251094
7142,0.0033117543945310004,0.002880718261719,53.41744736486244,50.330596509512816
7144,0.42956993750000005,0.37023312500000005,53.84701730236244,50.700829634512814
7145,0.40990590625,0.3940878125,54.25692320861244,51.09491744701281
7188,2.280129e-09,0.0,54.25692321089257,51.09491744701281
7211,0.004012115966797001,0.002511713134766,54.26093532685937,51.09742916014758
7212,0.07023216406250002,0.0520702734375,54.33116749092187,51.14949943358508
7213,0.13483634375,0.0762118359375,54.466003834671874,51.22571126952258
7217,0.39845528125,0.32814475000000004,54.864459115921875,51.55385601952258
7218,0.45100621875,0.42319315625000004,55.31546533467188,51.97704917577258
7220,0.00019343927002000001,0.00018510340881300002,55.3156587739419,51.97723427918139
7221,0.5218433125,0.49943928125000003,55.8375020864419,52.47667356043139
7234,0.49698018750000006,0.41550606250000005,56.3344822739419,52.89217962293139
7236,0.412953,0.387359375,56.7474352739419,53.27953899793139
7239,0.3138889375,0.3019799375,57.06132421144191,53.58151893543139
7240,0.33740793750000003,0.32150743750000005,57.3987321489419,53.90302637293139
7242,0.31343915625,0.29601696875,57.7121713051919,54.199043341681396
7245,0.26875840625,0.25415621875,57.9809297114419,54.45319956043139
7252,0.47194021875000003,0.44827000000000006,58.4528699301919,54.901469560431394
7253,0.32852328125,0.2925153125,58.7813932114419,55.193984872931395
7256,0.408476,0.38648553125,59.1898692114419,55.5804704041814
7259,0.46198046875000004,0.4099859375,59.6518496801919,55.990456341681394
7264,0.5014028125000001,0.46929921875,60.1532524926919,56.4597555604314
7265,0.0797063671875,0.0756140546875,60.232958859879396,56.535369615118896
7266,0.437921125,0.42079403125000003,60.6708799848794,56.95616364636889
7270,0.5373480625,0.51896134375,61.2082280473794,57.47512499011889
7271,0.19599479687500002,0.17192537500000002,61.4042228442544,57.64705036511889
7274,0.251940078125,0.23621915625,61.6561629223794,57.883269521368895
7299,1.642896843e-05,1.6245531082000003e-05,61.65617935134783,57.883285766899974
7300,1.351278019e-05,1.2975401878000001e-05,61.65619286412802,57.883298742301854
7304,0.00018743713378900002,0.000154976303101,61.65638030126181,57.883453718604954
7308,0.0315891015625,0.029722007812500003,61.687969402824315,57.91317572641746
7309,0.533420875,0.49602665625000003,62.22139027782431,58.40920238266746
7310,0.45233984375,0.4346165625,62.673730121574316,58.843818945167456
7314,0.5468039375,0.51160525,63.22053405907432,59.35542419516746
7315,0.42399428125000005,0.40853959375000004,63.64452834032432,59.76396378891746
7317,0.05422701171875,0.050909347656250006,63.69875535204307,59.81487313657371
7320,0.5457830625000001,0.5224064062500001,64.24453841454307,60.33727954282371
7321,0.5508315625000001,0.52802225,64.79536997704307,60.86530179282371
7324,0.41264378125,0.37722925,65.20801375829306,61.24253104282371
7328,0.45229190625000004,0.43712471875000003,65.66030566454306,61.679655761573706
7331,0.12792589843750002,0.1211766328125,65.78823156298056,61.800832394386205
7333,0.559945875,0.49089556250000005,66.34817743798055,62.291727956886206
7334,0.44992878125,0.413007375,66.79810621923055,62.704735331886205
7358,0.0035687929687500002,0.0031800009765630003,66.8016750121993,62.70791533286277
7406,4.057576180000001e-06,4.011244774000001e-06,66.80167906977547,62.707919344107545
7407,4.967672348000001e-06,4.755597591e-06,66.80168403744783,62.70792409970514
7427,1.7377050826330003e-09,1.391953788698e-09,66.80168403918553,62.70792410109709
7428,9.51341411564e-10,9.38587589189e-10,66.80168404013688,62.707924102035676
7433,8.162687532604e-09,7.312776055187e-09,66.80168404829956,62.707924109348454
7435,1.0468446649611001e-08,9.273601695895e-09,66.801684058768,62.70792411862205
7436,2.5626566261053002e-08,1.9233947619796002e-08,66.80168408439457,62.707924137856
7437,1.7182843759655998e-08,1.5122311189771003e-08,66.80168410157741,62.70792415297831
7438,2.5044271722436e-08,2.1391931921244004e-08,66.80168412662168,62.70792417437024
7439,3.5849716514349e-08,3.3102914690971e-08,66.8016841624714,62.707924207473155
7440,3.6749240010977e-08,3.4533794969320004e-08,66.80168419922065,62.70792424200695
