fill_number,start_stable_beam,end_stable_beam
8891,2023-06-09 13:09:41.000000,2023-06-10 03:10:40.000000
8894,2023-06-10 07:12:22.000000,2023-06-10 17:28:56.000000
8895,2023-06-11 00:02:52.000000,2023-06-11 08:49:04.000000
8896,2023-06-11 11:25:53.000000,2023-06-11 19:29:36.000000
8901,2023-06-13 02:27:22.000000,2023-06-13 09:02:02.000000
8997,2023-06-28 10:30:53.000000,2023-06-28 17:19:33.000000
8999,2023-06-28 20:17:36.000000,2023-06-29 20:19:38.000000
9007,2023-06-30 11:15:51.000000,2023-06-30 20:11:58.000000
9014,2023-07-01 07:14:16.000000,2023-07-01 07:14:20.000000
9016,2023-07-01 12:26:07.000000,2023-07-01 14:41:24.000000
9017,2023-07-01 16:44:42.000000,2023-07-01 22:03:32.000000
9019,2023-07-02 03:23:12.000000,2023-07-02 10:10:31.000000
9022,2023-07-02 16:20:53.000000,2023-07-02 21:28:15.000000
9023,2023-07-02 23:58:58.000000,2023-07-03 03:28:01.000000
9029,2023-07-03 23:29:56.000000,2023-07-04 12:47:46.000000
9031,2023-07-04 16:56:25.000000,2023-07-05 06:15:16.000000
9035,2023-07-05 11:03:46.000000,2023-07-05 23:07:24.000000
9036,2023-07-06 01:17:41.000000,2023-07-06 14:13:35.000000
9043,2023-07-07 11:09:02.000000,2023-07-08 01:50:57.000000
9044,2023-07-08 04:06:43.000000,2023-07-08 17:41:56.000000
9045,2023-07-08 19:40:27.000000,2023-07-09 09:08:37.000000
9046,2023-07-09 10:56:30.000000,2023-07-09 15:50:57.000000
9049,2023-07-09 19:07:57.000000,2023-07-10 03:41:14.000000
9050,2023-07-10 12:28:48.000000,2023-07-10 18:07:41.000000
9055,2023-07-11 03:19:30.000000,2023-07-11 04:06:36.000000
9056,2023-07-11 07:20:06.000000,2023-07-11 07:39:10.000000
9057,2023-07-11 09:37:44.000000,2023-07-11 18:56:47.000000
9059,2023-07-11 23:54:52.000000,2023-07-12 02:01:12.000000
9062,2023-07-12 12:36:43.000000,2023-07-12 14:53:19.000000
9063,2023-07-12 17:38:37.000000,2023-07-13 13:36:05.000000
9066,2023-07-14 07:40:14.000000,2023-07-14 08:50:30.000000
9067,2023-07-15 01:09:53.000000,2023-07-15 01:56:59.000000
9068,2023-07-15 05:13:10.000000,2023-07-15 07:56:57.000000
9070,2023-07-15 17:20:09.000000,2023-07-16 04:55:44.000000
9072,2023-07-16 07:58:39.000000,2023-07-16 20:28:24.000000
9073,2023-07-16 22:50:23.000000,2023-07-16 23:00:20.000000
9095,2023-09-01 08:43:52.000000,2023-09-01 09:14:24.000000
9128,2023-09-07 14:14:32.000000,2023-09-08 02:14:55.000000
9132,2023-09-09 13:27:04.000000,2023-09-09 22:06:56.000000
9135,2023-09-10 08:14:35.000000,2023-09-10 13:05:25.000000
9136,2023-09-10 20:44:55.000000,2023-09-11 01:10:05.000000
9138,2023-09-11 10:15:54.000000,2023-09-11 13:09:55.000000
9153,2023-09-14 23:47:56.000000,2023-09-15 05:38:52.000000
9154,2023-09-15 16:51:06.000000,2023-09-16 08:19:28.000000
9156,2023-09-16 22:40:22.000000,2023-09-17 05:23:39.000000
9159,2023-09-17 15:44:45.000000,2023-09-18 04:49:39.000000
9162,2023-09-19 01:03:59.000000,2023-09-19 08:45:03.000000
9168,2023-09-19 23:39:44.000000,2023-09-20 06:09:05.000000
9192,2023-09-26 17:46:57.000000,2023-09-26 20:53:13.000000
9193,2023-09-27 02:00:47.000000,2023-09-27 06:58:50.000000
9194,2023-09-27 10:29:27.000000,2023-09-27 12:58:33.000000
9197,2023-09-27 20:05:24.000000,2023-09-27 23:15:30.000000
9200,2023-09-28 03:10:44.000000,2023-09-28 04:29:49.000000
9201,2023-09-28 06:53:10.000000,2023-09-28 07:11:45.000000
9206,2023-09-29 05:27:29.000000,2023-09-29 07:30:15.000000
9209,2023-09-30 09:57:08.000000,2023-09-30 15:18:45.000000
9212,2023-09-30 22:17:22.000000,2023-10-01 06:24:28.000000
9213,2023-10-01 08:36:53.000000,2023-10-01 11:42:42.000000
9216,2023-10-02 00:59:48.000000,2023-10-02 02:10:12.000000
9217,2023-10-02 07:33:03.000000,2023-10-02 11:54:57.000000
9218,2023-10-02 17:03:16.000000,2023-10-02 22:05:16.000000
9220,2023-10-03 02:48:46.000000,2023-10-03 08:36:19.000000
9222,2023-10-03 21:59:54.000000,2023-10-04 02:43:55.000000
9223,2023-10-04 06:37:27.000000,2023-10-04 10:28:13.000000
9225,2023-10-05 01:01:19.000000,2023-10-05 02:16:39.000000
9226,2023-10-05 04:56:12.000000,2023-10-05 06:34:22.000000
9231,2023-10-05 16:37:11.000000,2023-10-05 20:31:17.000000
9232,2023-10-05 23:35:35.000000,2023-10-06 10:36:41.000000
9234,2023-10-06 17:14:57.000000,2023-10-06 17:32:04.000000
9235,2023-10-06 20:51:17.000000,2023-10-06 22:28:28.000000
9237,2023-10-10 01:34:35.000000,2023-10-10 06:44:26.000000
9239,2023-10-10 13:09:53.000000,2023-10-10 14:31:07.000000
9240,2023-10-10 18:21:22.000000,2023-10-10 21:26:59.000000
9242,2023-10-11 02:59:20.000000,2023-10-11 06:38:12.000000
9245,2023-10-11 13:21:20.000000,2023-10-11 18:13:24.000000
9246,2023-10-11 21:05:50.000000,2023-10-12 01:49:59.000000
9247,2023-10-12 04:57:30.000000,2023-10-12 11:33:56.000000
9250,2023-10-12 16:43:58.000000,2023-10-12 21:41:43.000000
9251,2023-10-13 00:47:50.000000,2023-10-13 03:15:14.000000
9252,2023-10-13 06:08:36.000000,2023-10-13 11:01:52.000000
9254,2023-10-13 20:14:42.000000,2023-10-13 20:45:50.000000
9256,2023-10-14 17:29:05.000000,2023-10-14 18:52:11.000000
9258,2023-10-15 04:24:33.000000,2023-10-15 05:57:10.000000
9260,2023-10-15 10:56:41.000000,2023-10-15 11:47:39.000000
9263,2023-10-15 23:13:26.000000,2023-10-16 03:33:50.000000
9267,2023-10-16 15:33:08.000000,2023-10-16 16:14:49.000000
9268,2023-10-16 19:06:11.000000,2023-10-16 23:50:27.000000
9269,2023-10-17 02:49:09.000000,2023-10-17 03:28:04.000000
9270,2023-10-17 06:31:13.000000,2023-10-17 11:20:23.000000
9271,2023-10-17 17:18:04.000000,2023-10-17 22:00:03.000000
9273,2023-10-18 03:27:12.000000,2023-10-18 06:12:36.000000
9279,2023-10-19 19:58:47.000000,2023-10-19 21:53:45.000000
9281,2023-10-20 03:32:10.000000,2023-10-20 09:26:39.000000
9282,2023-10-20 12:11:20.000000,2023-10-20 18:04:28.000000
